industry_code	product_code	product_name
311941	31194142	Other prepared sauces exc. tomato (Worcestershire, soy, horseradish, meat, veg, seafood, etc.)	
311941	31194174	Pourable salad dressing (including reduced calorie, cheese, vinegar and oil etc.)	
311941	311941T	Spoon-type salad & other dressing (incl refrig & all other semisolid-type dressing) & mayo	
311942	31194211	Table salt (evaporated), pepper (white and black)	
311942	31194212	Other spices in consumer sizes (less than 1 lb)	
311942	31194213	Other spices in commercial sizes (1 lb or more)	
311942	3119424	Flavoring extracts, emulsions, and other liquid flavors	
311942	31194271	Dry dip, salad dressing, and seasoning mixes	
311942	31194272	Dry gravy and sauce mixes and frosting mixes	
311991	31199101	Salads sold in bulk or packages, not frozen or canned	
311991	31199102	Sandwiches, made from bread, sold in bulk or packages, not frozen or canned	
311991	31199103	Vegetables & potatoes peeled or cut for the trade, sold in bulk or packages, not frozen/canned	
311991	31199104	Tamales and other Mexican food specialties sold in bulk or packages, not frozen or canned	
311991	31199105	Prepared meals including meat/poultry pies and tofu, sold in bulk or pkgs, not frozen or canned	
311991	3119910B	Other perishable prepared food not frozen or canned , incl. pizza, fresh pasta, noodles, & tof	
311991	3119910C	Other perishable prepared foods, including pizza bulk/packaged & fresh macaroni/noodle products	
311991	3119911	Perishable prepared food sold in bulk or pakages, not frozen or canned	
311991	3119911111	Salads	
311991	3119911221	Sandwiches made from bread	
311991	3119911331	Vegetables and potatoes, peeled or cut for the trade	
311991	3119911441	Tamales and other Mexican food specialties	
311991	3119911591	Other perishable prepared food, including tofu, pizza, and meat pies	
311999	3119997	Baking powder and yeast	
311999	311999A	Macaroni & noodle products packaged with other ingredients not canned or frozen	
311999	311999B	Packaging purchased macaroni and noodle products with other purchased ingredients	
311999	311999D	Dried & dehydrated products, except pasta, packaged with other ingredients	
312111	3121111	Bottled carbonated soft drinks	
312111	3121114	Canned carbonated soft drinks	
312111	3121117	Soft drink flavoring syrup sold in bulk	
312112	3121121	Bottled water	
312113	31211301	Ice manufacturing	
312120	3121202	Bottled beer and ale case goods	
312120	3121203	Beer and ale in barrels and kegs	
312120	3121204	All other malt beverages and brewing products	
312120	312120A	Bottled beer and ale case goods	
312130	31213001	White grape wines, 14 percent or less	
312130	31213002	Red grape wines, 14 percent or less	
312130	3121301	Wines, brandy, and brandy spirits	
312130	31213011	White grape wines, 14 percent or less	
312130	31213012	Red grape wines, 14 percent or less	
312130	31213017	Other wines, brandy and brandy spirits	
312130	3121308	Wines, brandy, and brandy spirits	
312130	31213081	Grape wine with 14 percent or less alcohol content	
312130	312130812	White grape wine with 14 percent or less alcohol content	
312130	312130814	Red grape wine with 14 percent or less alcohol content	
312130	312130816	Rose grape wine with 14 percent or less alcohol content	
312130	312130825	Dessert wines	
312130	312130831	Effervescent wines	
312130	312130841	Non-grape fruit/berry wines, fortified wines (non-dessert), and specialty wines	
312130	312130883	Beverage brandy, neutral fruit spirits, and neutral brandy spirits	
312130	312130A	Wines	
312130	312130S	Secondary products	
312130	312130SS	Secondary products	
312140	31214045	Bottled gin	
312140	31214046	Bottled cordials, liqueurs	
312140	31214048	Bottled vodka	
312140	31214049	All other bottled liquor except brandy	
312140	3121408	Bottled liquor, except brandy	
312140	312140801	Whiskey, including bottled in bond	
312140	312140822	Gin	
312140	312140825	Cordials, liqueurs	
312140	312140831	Vodka	
312140	312140899	Other bottled liquors, except brandy	
31221-	31221-	Tobacco stemming & redrying	
312210	312210	Tobacco stemming and redrying	
312210	3122101	Unstemmed leaf tobacco, redried before packing	
312210	3122104	Tobacco, stemmed	
312210	312210M	Miscellaneous receipts	
312210	312210MM	Miscellaneous receipts	
312210	312210P	Primary products	
31222-	31222-	Tobacco product mfg	
312221	312221	Cigarette Manufacturing	
312221	3122210	Cigarettes, including nontobacco cigarettes	
312221	3122211	Filter tip	
312221	312221113	80 mm long or less	
312221	312221116	81 to 95 mm long	
312221	312221118	Greater than 95 mm	
312221	3122212	Cigarettes	
312221	3122213	Nonfilter tip	
312221	312221355	Nonfilter tip, all sizes	
312221	312221P	Primary products	
312229	312229	Other tobacco product manufacturing	
312229	3122291	Cigars	
312229	3122294	Chewing and smoking tobacco	
312229	31222941	Smoking tobacco	
312229	3122294111	Other chewing & smoking tobacco, incl fine cut, twist & plug	
312229	3122294121	Looseleaf chewing tobacco	
312229	3122294131	Dry and moist snuff	
312229	31222942	Looseleaf chewing tobacco, snuff, and all other chewing tobacco	
312229	3122297	Reconstituted tobacco (processed sheet and homogenized)	
312229	312229M	Miscellaneous receipts	
312229	312229P	Primary products	
313111	313111	Yarn spinning mills	
313111	3131111	Carded cotton yarns	
313111	3131113	Combed cotton yarns	
313111	3131115	Rayon, acetate, and/or lyocell spun yarns	
313111	3131116	Spun noncellulosic fiber and other natural fiber yarns	
313111	31311161	Polyester spun yarn, gray	
313111	31311163	Other spun noncellulosic fibers and other natural fiber yarns, gray	
313111	31311164	Other noncell. fibers & other natural yarns, spun & finished in the same est.	
313111	3131116551	Polyester spun yarn	
313111	3131116661	All other spun noncellulosic fiber and silk yarns	
313111	3131117	Spun noncellulosic fiber and silk yarns	
313111	3131117551	Polyester spun yarn	
313111	3131117661	All other spun noncellulosic fiber and silk yarns	
313111	3131119	Wool yarns, including new, reused, and reprocessed wool	
313111	313111C	Scouring and combing mill products	
313111	313111P	Primary products	
313111	313111S	Secondary products	
313111	313111SS	Secondary products	
313112	313112	Yarn texturizing and twisting mills	
313112	3131121	Novelty and plied yarns, excl. wool, not spun or thrown at the same establishment	
313112	3131123	Thrown filament yarns, except textured	
313112	3131125	Textured/crimped/bulked filament yarns, incl. stretch yarn, made from purchased filament yarn	
313112	3131127	Commission receipts for throwing or texturing of filament yarns	
313112	3131128	Commission receipts for throwing, texturing, or winding filament yarns	
313112	313112P	Primary products	
313112	313112S	Secondary products	
313113	313113	Thread mills	
313113	3131130	Thread	
313113	3131131	Thread	
313113	313113M	Miscellaneous receipts	
313113	313113P	Primary products	
313113	313113S	Secondary products	
313210	3132101	Cotton broadwoven plain weave fabrics (excluding pile) (gray goods)	
313210	31321025	Greige cotton broadwoven fabrics, weaves other than plain, twill, or pile	
313210	31321027	Greige cotton broadwoven pile fabrics	
313210	3132103	Cotton broadwoven twill weave fabrics (excluding pile) (gray goods)	
313210	3132105	Cotton broadwoven fabrics, weaves other than plain, twill, or pile (gray goods)	
313210	3132107	Cotton broadwoven pile fabrics (gray goods)	
313210	313210A	Manmade fiber broadwoven fabrics, combinations of spun/filament yarns (exc wool blends) (gray)	
313210	313210B	Cotton towels and washcloths, made in weaving mills	
313210	313210C	Fabricated cotton textile products exc towels/washcloths, made in weaving mills	
313210	313210D	Manmade fiber broadwoven fabrics, comb. of spun/filament yarns, gray goods	
313210	313210E	Manmade fiber broadwoven fabrics 85% or more filament yarns, rayon/acetate/lyocell (gray goods	
313210	313210G	Manmade fiber broadwoven fabrics 85% or more filament yarns (exc rayon/acetate/lyocell) (gray)	
313210	313210H	Manmade fiber broadwoven plain weave fabrics 85% or more spun yarns (exc pile/wool blends) gra	
