industry_code	industry_name
327320	Ready-mix concrete manufacturing	
327331	Concrete block and brick manufacturing	
327332	Concrete pipe manufacturing	
327390	Other concrete product manufacturing	
327410	Lime manufacturing	
327420	Gypsum product manufacturing	
327910	Abrasive product manufacturing	
327991	Cut stone and stone product manufacturing	
327992	Ground or treated minerals and earths mfg.	
327993	Mineral wool manufacturing	
327999	Miscellaneous nonmetallic mineral products	
331111	Iron and steel mills	
331112	Ferroalloy and related product manufacturing	
331210	Iron, steel pipe and tube from purchased steel	
331221	Rolled steel shape manufacturing	
331311	Alumina refining	
331312	Primary aluminum production	
331314	Secondary smelting and alloying of aluminum	
331315	Aluminum sheet, plate, and foil mfg	
331316	Aluminum extruded product manufacturing	
331319	Other aluminum rolling and drawing	
331410	Nonferrous metal (except aluminum) smelting and refining	
331411	Primary smelting and refining of copper	
331419	Primary nonferrous metal, except Cu and Al	
331421	Copper rolling, drawing and extruding	
331422	Copper wire, except mechanical, drawing	
331423	Secondary processing of copper	
331491	Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding	
331492	Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)	
331511	Iron foundries	
331512	Steel investment foundries	
331513	Steel foundries, except investment	
331521	Aluminum die-casting foundries	
331522	Nonferrous, except Al, die-casting foundries	
331524	Aluminum foundries, except die-casting	
331525	Copper foundries, except die-casting	
331528	Other nonferrous foundries, except die-casting	
332111	Iron and steel forging	
332112	Nonferrous forging	
332114	Custom roll forming	
332115	Crown and closure manufacturing	
332116	Metal stamping	
332211	Cutlery and flatware, except precious, mfg	
332212	Hand and edge tool manufacturing	
332213	Saw blade & handsaw manufacturing	
332214	Kitchen utensil, pot & pan manufacturing	
332311	Prefabricated metal buildings and components	
332312	Fabricated structural metal mfg	
332313	Plate work manufacturing	
332321	Metal window and door manufacturing	
332322	Sheet metal work manufacturing	
332323	Ornamental and architectural metal work mfg.	
332410	Power boiler and heat exchanger mfg	
332420	Metal tank, heavy gauge, mfg	
332431	Metal can mfg	
332439	Other metal container manufacturing	
332510	Hardware manufacturing	
332611	Spring, heavy gauge, manufacturing	
332612	Spring, light gauge, manufacturing	
332710	Machine shops	
332721	Precision turned product mfg	
332722	Bolt, nut, screw, rivet, and washer mfg	
332811	Metal heat treating	
332812	Metal coating and nonprecious engraving	
332813	Electroplating, anodizing and coloring metal	
332911	Industrial valve manufacturing	
332912	Fluid power valve and hose fitting mfg	
332913	Plumbing fixture fitting and trim mfg	
332919	Other metal valve and pipe fitting mfg	
332992	Small arms ammunition mfg	
332993	Ammunition, except small arms,  manufacturing	
332994	Small arms manufacturing	
332995	Other ordnance and accessories manufacturing	
332996	Fabricated pipe and pipe fitting mfg	
332997	Industrial pattern manufacturing	
332998	Enameled iron and metal sanitary ware mfg	
332999	Miscellaneous fabricated metal product mfg	
333111	Farm machinery and equipment manufacturing	
333131	Mining machinery and equipment manufacturing	
333132	Oil and gas field machinery and equipment mfg	
33321-	Sawmill and woodworking machinery	
333210	Sawmill and woodworking machinery	
33322-	Plastics and rubber industry machinery	
333220	Plastics and rubber industry machinery	
333243	Sawmill, woodworking and paper machinery mfg	
33329-	Other industrial machinery manufacturing	
333291	Paper industries machinery manufacturing	
333292	Textile machinery manufacturing	
333293	Printing machinery and equipment mfg	
333294	Food product machinery manufacturing	
333295	Semiconductor machinery manufacturing	
333298	All other industrial machinery manufacturing	
333311	Automatic vending machine manufacturing	
333312	Commercial laundry and drycleaning machinery	
333313	Office machinery manufacturing	
333314	Optical instrument and lens manufacturing	
333315	Photographic and photocopying equipment mfg	
333319	Other commercial & service machinery mfg	
333411	Air purification equipment manufacturing	
333412	Industrial and commercial fan and blower mfg	
333414	Heating equipment, except warm air furnaces	
333415	Air-conditioning, refrigeration, and forced air heating equipment mfg	
333511	Industrial mold manufacturing	
333512	Metal cutting machine tool manufacturing	
333513	Metal forming machine tool manufacturing	
333514	Special tool, die, jig, and fixture mfg	
333515	Cutting tool and machine tool accessory mfg	
333516	Rolling mill machinery and equipment mfg	
333518	Other metalworking machinery manufacturing	
333611	Turbine and turbine generator set units mfg	
333618	Other engine equipment manufacturing	
333911	Pump and pumping equipment manufacturing	
333912	Air and gas compressor manufacturing	
333913	Measuring and dispensing pump manufacturing	
333922	Conveyor and conveying equipment manufacturing	
333923	Overhead cranes, hoists and monorail systems	
333924	Industrial truck, trailer, and stacker mfg	
333991	Power-driven handtool mfg	
333993	Packaging machinery manufacturing	
333994	Industrial process furnace and oven mfg	
333995	Fluid power cylinder and actuator mfg	
333996	Fluid power pump and motor manufacturing	
333997	Scale and balance mfg	
333999	All other miscellaneous general purpose machinery mfg	
334111	Electronic computer manufacturing	
334112	Computer storage device mfg	
334113	Computer terminal manufacturing	
334119	Other computer peripheral equipment mfg	
334220	Broadcast and wireless communications equipment mfg	
334310	Audio and video equipment manufacturing	
334411	Electron tube manufacturing	
334412	Bare printed circuit board manufacturing	
334413	Semiconductors and related device mfg	
334414	Electronic capacitor manufacturing	
334415	Electronic resistor manufacturing	
334416	Electronic coils, transformers, and inductors mfg	
334417	Electronic connector manufacturing	
334418	Printed circuit assembly manufacturing	
334419	Other electronic component mfg	
334510	Electromedical apparatus manufacturing	
334512	Automatic environmental control manufacturing	
334513	Industrial process variable instruments mfg	
334514	Totalizing fluid meters and counting devices	
334515	Electricity and signal testing instruments mfg	
334516	Analytical laboratory instrument mfg.	
334517	Irradiation apparatus manufacturing	
334518	Watch, clock, and part manufacturing	
334519	Other measuring and controlling device mfg	
334612	Audio and video media reproduction	
334613	Magnetic and optical recording media mfg	
335110	Electric lamp bulb and part mfg	
335121	Residential electric lighting fixture mfg	
335122	Nonresidential electric lighting fixture mfg	
335129	Other lighting equipment manufacturing	
335211	Electric housewares and household fan mfg	
335212	Household vacuum cleaner manufacturing	
335221	Household cooking appliance manufacturing	
335222	Household refrigerator and home freezer mfg	
335224	Household laundry equipment manufacturing	
335228	Other major household appliance manufacturing	
335311	Electric power and specialty transformer mfg	
335312	Motor and generator manufacturing	
335313	Switchgear and switchboard apparatus mfg	
335314	Relay and industrial control mfg	
335911	Storage battery manufacturing	
335912	Primary battery manufacturing	
335921	Fiber optic cable manufacturing	
335929	Other communication and energy wire mfg	
335931	Current-carrying wiring device manufacturing	
335932	Noncurrent-carrying wiring device mfg	
335999	Miscellaneous electrical equipment mfg	
336120	Heavy duty truck mfg	
336211	Motor vehicle body manufacturing	
336213	Motor home manufacturing	
336214	Travel trailer and camper manufacturing	
336311	Carburetor, piston, piston, ring and valve mfg	
336312	Gasoline engine and engine parts mfg	
336321	Vehicular lighting equipment mfg	
336322	Other motor vehicle electrical equipment mfg	
336330	Motor vehicle steering and suspension parts	
336340	Motor vehicle brake system mfg	
336350	Motor vehicle power train components mfg	
336360	Motor vehicle seating and interior trim mfg	
336370	Motor vehicle metal stamping	
336391	Motor vehicle air conditioning manufacturing	
336399	All other motor vehicle parts manufacturing	
336411	Aircraft manufacturing	
336413	Other aircraft parts and equipment mfg	
336510	Railroad rolling stock manufacturing	
336611	Ship building and repairing	
336612	Boat building	
336991	Motorcycle, bicycle, and parts manufacturing	
336999	All other transportation equipment mfg	
337110	Wood kitchen cabinet and countertop mfg	
337121	Upholstered household furniture manufacturing	
337122	Nonupholstered wood household furniture mfg	
337124	Metal household furniture mfg	
337125	Household furniture, except wood or metal, mfg	
337127	Institutional furniture mfg	
337211	Wood office furniture manufacturing	
337212	Custom architectural woodwork and millwork	
337214	Office furniture, except wood, manufacturing	
337215	Showcases, partitions, shelving, and lockers	
337920	Blind and shade manufacturing	
339111	Laboratory apparatus and furniture mfg	
339112	Surgical and medical instrument mfg	
339113	Surgical appliance and supplies mfg	
339114	Dental equipment and supplies manufacturing	
339115	Ophthalmic goods manufacturing	
339911	Jewelry, except costume, manufacturing	
339912	Silverware and hollowware manufacturing	
339913	Jewelers' material and lapidary work mfg	
339914	Costume jewelry and novelty manufacturing	
339920	Sporting and athletic goods manufacturing	
339931	Doll and stuffed toy manufacturing	
339932	Game, toy, and children's vehicle mfg	
339941	Pen and mechanical pencil manufacturing	
339942	Lead pencil and art good manufacturing	
339943	Marking device manufacturing	
339944	Carbon paper and inked ribbon manufacturing	
339950	Sign manufacturing	
339991	Gasket, packing, & sealing device mfg	
339992	Musical instrument manufacturing	
339993	Fastener, button, needle, and pin mfg	
339995	Burial casket mfg	
339999	All other miscellaneous manufacturing	
421930	Recyclable materials wholesalers	
423000	Merchant wholesalers, durable goods	
424000	Merchant wholesalers, nondurable goods	
441222	Boat dealers	
44311-	Appliance, TV and other electronics stores	
443111	Household appliance stores	
443112	Radio, TV, and other electronics stores	
44312-	Computer and software stores	
443120	Computer and software stores	
44313-	Camera and photographic supplies stores	
443130	Camera and photographic supplies stores	
445310	Beer, wine, and liquor stores	
446130	Optical goods stores	
448140	Family clothing stores	
45122-	Prerecorded tape, CD and record stores	
451220	Prerecorded tape, CD, and record stores	
4521--	Department stores	
453930	Manufactured (mobile) home dealers	
454113	Mail-order houses	
481111	Scheduled passenger air transportation	
481210	Nonscheduled air transportation	
482111	Line-haul railroads	
486910	Refined petroleum product pipeline transport.	
488119	Other airport operations	
488190	Other support activities for air transport.	
488310	Port and harbor operations	
488320	Marine cargo handling	
488330	Navigational services to shipping	
488510	Freight transportation arrangement	
491110	U.S. Postal Service	
492210	Local messengers and local delivery	
493120	Refrigerated warehousing and storage	
493130	Farm product warehousing and storage	
511110	Newspaper publishers	
511120	Periodical publishers	
511130	Book publishers	
511191	Greeting card publishers	
511199	All other publishers	
511210	Software publishers	
515111	Radio networks	
515112	Radio stations	
515120	Television broadcasting	
517110	Wired telecommunications carriers	
517211	Paging	
517212	Cellular and other wireless carriers	
5175--	Cable and other program distribution	
51751-	Cable and other program distribution	
517510	Cable and other program distribution	
5181--	Internet service providers	
51811-	Internet service providers	
518111	Internet service providers	
518112	Web search portals	
518210	Data processing and related services	
522120	Savings institutions	
523920	Portfolio management	
524114	Direct health and medical insurance carriers	
524126	Direct property and casualty insurers	
524210	Insurance agencies and brokerages	
531120	Lessors of nonresidential buildings	
531210	Offices of real estate agents and brokers	
532120	Truck, trailer and RV rental and leasing	
541110	Offices of lawyers	
541211	Offices of certified public accountants	
541219	Other accounting services	
541310	Architectural services	
541610	Management consulting services	
541619	Retained executive recruiting	
541810	Advertising agencies	
56131-	Employment placement agencies	
561310	Employment placement agencies	
56132-	Temporary help services	
561320	Temporary help services	
561510	Travel agencies	
622110	General medical and surgical hospitals	
622210	Psychiatric and substance abuse hospitals	
622310	Other specialty hospitals	
721110	Hotels and motels, except casino hotels	
721120	Casino hotels	
924126	Premiums for property and casualty insurance	
BBLD--	Non-residential buildings	
BHVY--	Material and supply inputs to other heavy construction	
BHWY--	Material and supply inputs to highway and street construction	
BRS1--	Material and supply inputs to single unit residential construction	
BRSM--	Material and supply inputs to multi-unit residential construction	
