item_code	item_name
SE42	Sewing materials, notions, and luggage                                                              	
SE43	Watches and jewelry                                                                                 	
SE4301	Watches                                                                                             	
SE4302	Jewelry                                                                                             	
SE44	Apparel services                                                                                    	
SE4401	Other apparel services                                                                              	
SE4402	Laundry and dry cleaning other than coin operated                                                   	
SE45	New vehicles                                                                                        	
SE4501	New cars                                                                                            	
SE4502	New trucks                                                                                          	
SE4503	New motorcycles                                                                                     	
SE46	Used cars                                                                                           	
SE47	Motor fuel, motor oil, coolant, and other products                                                  	
SE4701	Motor fuel                                                                                          	
SE4702	Motor oil, coolant, and other products                                                              	
SE48	Automobile parts and equipment                                                                      	
SE4801	Tires                                                                                               	
SE4802	Other automobile parts and equipment                                                                	
SE49	Automobile maintenance and repairs                                                                  	
SE4901	Automobile body work                                                                                	
SE4902	Automobile drive train, brake, and miscellaneous mechanical                                         	
SE4903	Automobile maintenance and servicing                                                                	
SE4904	Automobile power plant repair                                                                       	
SE50	Automobile insurance                                                                                	
SE51	Automobile finance charges                                                                          	
SE52	Automobile fees                                                                                     	
SE5201	Automobile registration, licensing, and inspection fees                                             	
SE5205	Other automobile-related fees                                                                       	
SE53	Public transportation                                                                               	
SE5301	Airline fares                                                                                       	
SE5302	Other intercity public transportation                                                               	
SE5303	Intracity public transportation                                                                     	
SE54	Prescription drugs                                                                                  	
SE55	Nonprescription drugs and medical supplies                                                          	
SE5502	Internal and respiratory over-the-counter drugs                                                     	
SE5503	Nonprescription medical equipment and supplies                                                      	
SE56	Professional medical services                                                                       	
SE5601	Physicians' services                                                                                	
SE5602	Dental services                                                                                     	
SE5603	Eye care                                                                                            	
SE5604	Services by other medical professionals                                                             	
SE57	Hospital and related services                                                                       	
SE5701	Hospital room                                                                                       	
SE5702	Other inpatient hospital services                                                                   	
SE5703	Outpatient services                                                                                 	
SE5704	Hospital services                                                                                   	
SE570R	Nursing home services                                                                               	
SE59	Reading materials                                                                                   	
SE5901	Newspapers                                                                                          	
SE5902	Magazines, periodicals, and books                                                                   	
SE60	Sporting goods and equipment                                                                        	
SE6001	Sport vehicles, including bicycles                                                                  	
SE6002	Other sporting goods                                                                                	
SE61	Toys, hobbies, and other entertainment                                                              	
SE6101	Toys, hobbies, and music equipment                                                                  	
SE6102	Photographic supplies and equipment                                                                 	
SE6103	Pet supplies and expense                                                                            	
SE62	Entertainment services                                                                              	
SE6201	Club memberships                                                                                    	
SE6202	Fees for participant sports, excl club memberships                                                  	
SE6203	Admissions                                                                                          	
SE6204	Fees for lessons or instructions                                                                    	
SE6205	Other entertainment services                                                                        	
SE63	Tobacco and smoking products                                                                        	
SE64	Toilet goods and personal care appliances                                                           	
SE6401	Other toilet goods and small personal care appliances, inclu                                        	
SE6403	Cosmetics, bath and nail preparations, manicure and eye make                                        	
SE65	Personal care services                                                                              	
SE6501	Beauty parlor services for females                                                                  	
SE6502	Haircuts and other barber shop services for males                                                   	
SE66	School books and supplies                                                                           	
SE67	Tuition and other school fees                                                                       	
SE6701	College tuition                                                                                     	
SE6702	Elementary and high school tuition                                                                  	
SE6703	Daycare and nursery school                                                                          	
SE68	Personal expenses                                                                                   	
SE6801	Legal service fees                                                                                  	
SE6802	Personal financial services                                                                         	
SE6803	Funeral expenses                                                                                    	
SE69	Information processing equipment                                                                    	
SEED01	Land-line telephone services, local charges                                                         	
SEED02	Land-line telephone services, long distance charges                                                 	
SEGD06	Care of invalids and elderly at home                                                                	
SEMA	Prescription drugs                                                                                  	
SEMB	Nonprescription drugs and medical supplies                                                          	
SEMB01	Internal and respiratory over-the-counter drugs                                                     	
SEMB02	Nonprescription medical equipment and supplies                                                      	
SS02021	Other breads                                                                                        	
SS02022	Fresh biscuits, rolls, and muffins                                                                  	
SS02041	Fresh cakes and cupcakes                                                                            	
SS02042	Cookies                                                                                             	
SS02063	Fresh sweetrolls, coffeecakes, and donuts                                                           	
SS0206A	Crackers, bread, and cracker products                                                               	
SS0206B	Frozen and refrigerated bakery products, pies, tarts, and tu                                        	
SS04031	Ham excl canned                                                                                     	
SS04041	Other pork                                                                                          	
SS04042	Pork sausage                                                                                        	
SS05011	Frankfurters                                                                                        	
SS05012	Bologna, liverwurst, and salami                                                                     	
SS05013	Other lunchmeats                                                                                    	
SS05014	Lamb and organ meats                                                                                	
SS10011	Butter                                                                                              	
SS10012	Other dairy products                                                                                	
SS13013	Other fruit juices                                                                                  	
SS1301A	Frozen fruit and fruit juices                                                                       	
SS14023	Other processed vegetables                                                                          	
SS1402A	Cut corn, canned beans excl lima beans                                                              	
SS15011	Candy and chewing gum                                                                               	
SS15012	Other sweets                                                                                        	
SS16011	Margarine                                                                                           	
SS16012	Other fats, oils, salad dressing                                                                    	
SS1601A	Nondairy substitutes and peanut butter                                                              	
SS17031	Roasted coffee                                                                                      	
SS17032	Instant and freeze dried coffee                                                                     	
SS1804A	Seasonings, olives, pickles, and relish                                                             	
SS1804B	Other condiments                                                                                    	
SS18063	Other canned and packaged prepared foods                                                            	
SS1806A	Miscellaneous prepared foods and baby foods                                                         	
SS20021	Whiskey at home                                                                                     	
SS20022	Other alcoholic beverages at home                                                                   	
SS2801A	Household linens                                                                                    	
SS2801B	Curtains, drapes, slipcovers, and sewing materials                                                  	
SS33011	Soaps and detergents                                                                                	
SS33012	Other laundry and cleaning products                                                                 	
SS33031	Cleansing and toilet tissues, paper towels, and napkins                                             	
SS33032	Stationery, stationery supplies, and gift wrap                                                      	
SS36013	Men's coats and jackets                                                                             	
SS3601A	Men's suits, sport coats and jackets                                                                	
SS37016	Boys' suits, trousers, sportcoats, and jackets                                                      	
SS3701A	Boys' coats, jackets, sweaters and shirts                                                           	
SS3901A	Girls' coats, jackets, dresses and suits                                                            	
SS3901B	Girls' separates and sportswear                                                                     	
SS450111	Subcompact new cars                                                                                 	
SS450112	Compact new cars                                                                                    	
SS450113	Intermediate new cars                                                                               	
SS450114	Full-size new cars                                                                                  	
SS450115	Luxury new cars                                                                                     	
SS47012	Gasoline, leaded regular                                                                            	
SS47014	Gasoline, unleaded regular                                                                          	
SS47015	Gasoline, unleaded midgrade                                                                         	
SS47016	Gasoline, unleaded premium                                                                          	
SS4701A	Gasoline, all types                                                                                 	
SS52011	State automobile registration                                                                       	
SS5702	Inpatient hospital services                                                                         	
SS5703	Outpatient hospital services                                                                        	
SS6401A	Products for hair, hair pieces, and wigs.                                                           	
